Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CHS_Record and Playback_Mode_001,Chrome 120.0.0.0,,,25-01-2024 21:44:10,25-01-2024 21:47:05,2m - 54.339s,PASSED
,,,,,,,
Test Cases/Cura Health Care Services_Record and Playback Modes/TC_CHS_Home_Validate Creating Account_001,Chrome 120.0.0.0,,,25-01-2024 21:44:11,25-01-2024 21:44:38,27.000s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,25-01-2024 21:44:11,25-01-2024 21:44:26,15.113s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,25-01-2024 21:44:26,25-01-2024 21:44:33,7.009s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 120.0.0.0,,,25-01-2024 21:44:33,25-01-2024 21:44:34,0.512s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 120.0.0.0,,,25-01-2024 21:44:34,25-01-2024 21:44:35,1.185s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/input_form-control""))",Chrome 120.0.0.0,,,25-01-2024 21:44:35,25-01-2024 21:44:35,0.433s,PASSED
"setText(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,25-01-2024 21:44:35,25-01-2024 21:44:36,0.779s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,25-01-2024 21:44:36,25-01-2024 21:44:36,0.442s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Create Account_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,25-01-2024 21:44:36,25-01-2024 21:44:38,1.164s,PASSED
,,,,,,,
Test Cases/Cura Health Care Services_Record and Playback Modes/TC_CHS_HOME_Validate Take an Appointment_002,Chrome 120.0.0.0,,,25-01-2024 21:44:38,25-01-2024 21:45:04,26.904s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,25-01-2024 21:44:38,25-01-2024 21:44:45,7.104s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,25-01-2024 21:44:45,25-01-2024 21:44:56,11.032s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/i_fa fa-bars""))",Chrome 120.0.0.0,,,25-01-2024 21:44:56,25-01-2024 21:44:56,0.413s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/a_Login""))",Chrome 120.0.0.0,,,25-01-2024 21:44:56,25-01-2024 21:44:57,1.070s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/input_form-control""))",Chrome 120.0.0.0,,,25-01-2024 21:44:57,25-01-2024 21:44:58,0.511s,PASSED
"setText(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,25-01-2024 21:44:58,25-01-2024 21:44:59,0.725s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,25-01-2024 21:44:59,25-01-2024 21:44:59,0.420s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/button_Login""))",Chrome 120.0.0.0,,,25-01-2024 21:44:59,25-01-2024 21:45:01,1.636s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,25-01-2024 21:45:01,25-01-2024 21:45:02,1.032s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/label_Medicaid""))",Chrome 120.0.0.0,,,25-01-2024 21:45:02,25-01-2024 21:45:02,0.369s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,25-01-2024 21:45:02,25-01-2024 21:45:02,0.388s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/td_31""))",Chrome 120.0.0.0,,,25-01-2024 21:45:02,25-01-2024 21:45:03,0.513s,PASSED
"setText(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/textarea_comment""), ""Make an Appointment"")",Chrome 120.0.0.0,,,25-01-2024 21:45:03,25-01-2024 21:45:04,0.813s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Take Appointment_OR/button_Book Appointment""))",Chrome 120.0.0.0,,,25-01-2024 21:45:04,25-01-2024 21:45:04,0.737s,PASSED
,,,,,,,
Test Cases/Cura Health Care Services_Record and Playback Modes/TC_CHS_HomeValidate Multiple Appointsments_003,Chrome 120.0.0.0,,,25-01-2024 21:45:04,25-01-2024 21:45:51,46.833s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,25-01-2024 21:45:05,25-01-2024 21:45:12,6.854s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,25-01-2024 21:45:12,25-01-2024 21:45:24,12.610s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Multiple Appointments/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 120.0.0.0,,,25-01-2024 21:45:24,25-01-2024 21:45:25,0.494s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Multiple Appointments/Page_CURA Healthcare Service/a_Login""))",Chrome 120.0.0.0,,,25-01-2024 21:45:25,25-01-2024 21:45:26,1.635s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Multiple Appointments/Page_CURA Healthcare Service/input_form-control""))",Chrome 120.0.0.0,,,25-01-2024 21:45:26,25-01-2024 21:45:27,0.597s,PASSED
"setText(findTestObject(""Object Repository/CHS_Pages_Multiple Appointments/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,25-01-2024 21:45:27,25-01-2024 21:45:28,0.687s,PASSED
"click(findTestObject(""Object Repository/CHS_Pages_Multiple Appointments/Page_CURA Healthcare Service/input_form-control_1""))",Chrome 120.0.0.0,,,25-01-2024 21:45:28,25-01-2024 21:45:28,0.450s,PASSED
